generation,individual,fitness,compression_ratio,integrity_check
0,0,25.96,0.50906,True
0,1,30.65,1.000317,True
0,2,0.0,1.000743,False
0,3,0.0,1.0,False
0,4,25.96,0.50906,True
0,5,25.96,0.509055,True
0,6,0.0,1.000743,False
0,7,25.96,0.50906,True
0,8,30.65,1.000317,True
0,9,0.0,0.509128,False
1,0,30.65,1.000317,True
1,1,30.65,1.000317,True
1,2,25.96,0.50906,True
1,3,25.96,0.50906,True
1,4,25.96,0.50906,True
1,5,0.0,1.000743,False
1,6,30.65,1.000247,True
1,7,25.96,0.509042,True
1,8,25.96,0.509042,True
1,9,30.65,1.000301,True
2,0,30.65,1.000317,True
2,1,30.65,1.000317,True
2,2,30.65,1.000247,True
2,3,30.65,1.000301,True
2,4,30.65,1.000301,True
2,5,30.65,1.000301,True
2,6,30.65,1.000301,True
2,7,30.65,1.000247,True
2,8,30.65,1.000317,True
2,9,30.65,1.000301,True
