generation,individual,fitness,compression_ratio,integrity_check
0,0,25.96,0.50906,True
0,1,25.96,0.509023,True
0,2,30.65,1.000317,True
0,3,25.96,0.50906,True
1,0,30.65,1.000317,True
1,1,25.96,0.50906,True
1,2,25.96,0.509023,True
1,3,25.96,0.50906,True
2,0,30.65,1.000317,True
2,1,25.96,0.50906,True
2,2,25.96,0.509023,True
2,3,25.96,0.50906,True
3,0,30.65,1.000317,True
3,1,25.96,0.50906,True
3,2,25.96,0.509023,True
3,3,25.96,0.50906,True
4,0,30.65,1.000317,True
4,1,25.96,0.50906,True
4,2,25.96,0.509023,True
4,3,25.96,0.50906,True
