generation,individual,fitness,compression_ratio,integrity_check
0,0,25.96,0.50906,True
0,1,30.41,0.983949,True
0,2,30.65,1.000317,True
0,3,25.96,0.50906,True
0,4,25.96,0.504678,True
0,5,25.96,0.509042,True
0,6,25.96,0.50906,True
0,7,0.0,1.000743,False
0,8,30.65,1.000317,True
0,9,25.96,0.50906,True
0,10,0.0,1.000743,False
0,11,0.0,1.095123,False
0,12,0,1.0,False
0,13,0.0,1.000743,False
0,14,0.0,1.000743,False
0,15,0.0,1.000743,False
0,16,0,1.0,False
0,17,0.0,1.000743,False
0,18,0,1.0,False
0,19,30.65,1.000317,True
1,0,30.65,1.000317,True
1,1,30.65,1.000317,True
1,2,30.65,1.000317,True
1,3,30.41,0.983949,True
1,4,30.65,1.000317,True
1,5,30.41,0.983949,True
1,6,30.65,1.000317,True
1,7,30.65,1.000317,True
1,8,30.65,1.000317,True
1,9,30.41,0.983949,True
1,10,30.65,1.000328,True
1,11,30.41,0.983949,True
1,12,0.0,1.001017,False
1,13,30.41,0.983949,True
1,14,30.65,1.000317,True
1,15,0.0,0.672868,False
1,16,25.96,0.504678,True
1,17,30.41,0.983949,True
1,18,0.0,1.000673,False
1,19,0.0,0.983921,False
2,0,30.65,1.000317,True
2,1,30.65,1.000317,True
2,2,30.65,1.000317,True
2,3,30.65,1.000317,True
2,4,30.65,1.000317,True
2,5,30.65,1.000317,True
2,6,0.0,1.012174,False
2,7,0,1.0,False
2,8,30.65,1.000317,True
2,9,0.0,1.000298,False
2,10,0.0,1.017974,False
2,11,30.65,1.000317,True
2,12,30.65,1.000317,True
2,13,0,1.0,False
2,14,30.65,1.000317,True
2,15,30.65,1.000317,True
2,16,30.65,1.000317,True
2,17,30.65,1.000317,True
2,18,30.65,1.000317,True
2,19,30.65,1.000317,True
3,0,30.65,1.000317,True
3,1,30.65,1.000317,True
3,2,30.65,1.000317,True
3,3,30.65,1.000317,True
3,4,30.65,1.000317,True
3,5,0.0,1.017239,False
3,6,30.65,1.000317,True
3,7,30.65,1.000317,True
3,8,30.65,1.000317,True
3,9,30.65,1.000317,True
3,10,0,1.0,False
3,11,30.65,1.000317,True
3,12,30.65,1.000317,True
3,13,30.65,1.000317,True
3,14,30.65,1.000317,True
3,15,30.65,1.000317,True
3,16,30.65,1.000317,True
3,17,30.65,1.000317,True
3,18,0.0,0.980525,False
3,19,30.65,1.000317,True
4,0,30.65,1.000317,True
4,1,30.65,1.000317,True
4,2,30.65,1.000317,True
4,3,30.65,1.000317,True
4,4,30.65,1.000317,True
4,5,30.65,1.000317,True
4,6,30.65,1.000317,True
4,7,30.65,1.000317,True
4,8,30.65,1.000317,True
4,9,30.65,1.000317,True
4,10,30.65,1.000317,True
4,11,30.65,1.000317,True
4,12,30.18,0.967609,True
4,13,30.65,1.000317,True
4,14,30.65,1.000317,True
4,15,30.65,1.000317,True
4,16,30.65,1.000317,True
4,17,30.65,1.000317,True
4,18,30.65,1.000317,True
4,19,30.65,1.000317,True
5,0,30.65,1.000317,True
5,1,30.65,1.000317,True
5,2,30.65,1.000317,True
5,3,30.65,1.000317,True
5,4,0,1.0,False
5,5,30.65,1.000317,True
5,6,30.65,1.000317,True
5,7,30.58,0.995273,True
5,8,30.65,1.000317,True
5,9,30.65,1.000317,True
5,10,30.65,1.000317,True
5,11,30.65,1.000317,True
5,12,30.65,1.000317,True
5,13,30.65,1.000317,True
5,14,30.65,1.000317,True
5,15,30.65,1.000317,True
5,16,30.65,1.000317,True
5,17,30.65,1.000317,True
5,18,0,1.0,False
5,19,30.65,1.000317,True
6,0,30.65,1.000317,True
6,1,30.65,1.000317,True
6,2,30.65,1.000317,True
6,3,30.65,1.000317,True
6,4,30.65,1.000317,True
6,5,30.65,1.000317,True
6,6,0,1.0,False
6,7,30.65,1.000317,True
6,8,30.65,1.000317,True
6,9,30.41,0.983949,True
6,10,30.65,1.00014,True
6,11,30.65,1.000317,True
6,12,30.65,1.000317,True
6,13,0.0,1.029902,False
6,14,30.65,1.000317,True
6,15,0.0,0.915376,False
6,16,0.0,0.999962,False
6,17,25.96,0.50895,True
6,18,30.65,1.000317,True
6,19,0.0,1.012714,False
7,0,30.65,1.000317,True
7,1,30.65,1.000317,True
7,2,30.65,1.000317,True
7,3,30.65,1.000317,True
7,4,30.65,1.000301,True
7,5,0,1.0,False
7,6,30.65,1.000317,True
7,7,30.65,1.000317,True
7,8,30.65,1.000317,True
7,9,30.41,0.983954,True
7,10,30.65,1.000317,True
7,11,30.65,1.000247,True
7,12,0.0,0.50895,False
7,13,30.65,1.000317,True
7,14,30.65,1.000317,True
7,15,0.0,0.983949,False
7,16,30.65,1.000317,True
7,17,30.41,0.983881,True
7,18,30.65,1.000317,True
7,19,30.65,1.000317,True
8,0,30.65,1.000317,True
8,1,30.65,1.000317,True
8,2,30.65,1.000317,True
8,3,30.65,1.000317,True
8,4,30.65,1.000317,True
8,5,0,1.0,False
8,6,30.65,1.000317,True
8,7,30.65,1.000301,True
8,8,30.65,1.000247,True
8,9,0.0,1.982631,False
8,10,0.0,1.000317,False
8,11,30.65,1.000317,True
8,12,0,1.0,False
8,13,30.65,1.000317,True
8,14,30.65,1.000317,True
8,15,0.0,1.000298,False
8,16,30.65,1.000247,True
8,17,30.65,1.000317,True
8,18,30.65,1.000317,True
8,19,30.65,1.000317,True
9,0,30.65,1.000317,True
9,1,30.65,1.000317,True
