generation,individual,fitness,compression_ratio,integrity_check
0,0,15.44,0.51,True
0,1,0.0,0.99,False
0,2,0.0,0.81,False
0,3,23.41,0.99,True
0,4,0.0,0.89,False
0,5,0.0,0.5,False
0,6,0.0,0.81,False
0,7,22.97,0.97,True
0,8,15.45,0.51,True
0,9,23.41,0.99,True
1,0,23.41,0.99,True
1,1,23.41,0.99,True
1,2,22.97,0.97,True
1,3,15.45,0.51,True
1,4,0.0,0.99,False
1,5,23.41,0.99,True
1,6,23.41,0.99,True
1,7,0,1.0,False
1,8,23.41,0.99,True
1,9,23.41,0.99,True
2,0,23.41,0.99,True
2,1,23.41,0.99,True
2,2,23.41,0.99,True
2,3,23.41,0.99,True
2,4,0.0,0.99,False
2,5,23.4,0.99,True
2,6,23.41,0.99,True
2,7,0,1.0,False
2,8,23.41,0.99,True
2,9,0.0,0.99,False
3,0,23.41,0.99,True
3,1,23.41,0.99,True
3,2,23.41,0.99,True
3,3,23.41,0.99,True
3,4,23.41,0.99,True
3,5,0.0,0.99,False
3,6,0.0,0.99,False
3,7,23.4,0.99,True
3,8,23.41,0.99,True
3,9,0,1.0,False
4,0,23.41,0.99,True
4,1,23.41,0.99,True
4,2,23.41,0.99,True
4,3,23.41,0.99,True
4,4,0,1.0,False
4,5,23.41,0.99,True
4,7,23.41,0.99,True
4,8,23.41,0.99,True
4,9,23.41,0.99,True
5,0,23.41,0.99,True
5,1,23.41,0.99,True
5,2,23.41,0.99,True
5,3,23.41,0.99,True
5,4,23.41,0.99,True
5,5,23.41,0.99,True
5,6,23.41,0.99,True
5,7,23.41,0.99,True
5,8,0.0,0.99,False
5,9,23.4,0.99,True
