generation,individual,fitness,compression_ratio,integrity_check
0,0,25.96,0.50906,True
0,1,0.0,0.50187,False
0,2,0,1.0,False
0,3,0.0,0.507022,False
0,4,25.96,0.50906,True
0,5,0.0,0.684614,False
0,6,30.65,1.000387,True
0,7,0.0,0.513422,False
0,8,30.39,0.982241,True
0,9,0.0,3.226979,False
0,10,30.53,0.992426,True
0,11,25.96,0.50906,True
0,12,30.53,0.992216,True
0,13,0,1.0,False
0,14,0.0,0.992801,False
1,0,0.0,0.510118,False
1,1,0.0,0.993145,False
1,2,30.54,0.992674,True
1,3,30.53,0.992426,True
1,4,30.53,0.992216,True
1,5,0.0,0.992801,False
1,6,30.53,0.992285,True
1,7,0.0,1.005781,False
1,8,0.0,0.875271,False
1,9,30.53,0.992285,True
1,10,30.53,0.992407,True
1,11,30.42,0.984765,True
1,12,0.0,5.9834,False
1,13,30.54,0.992674,True
1,14,0.0,40.204929,False
2,0,0.0,1.0,False
2,1,0.0,0.988212,False
2,2,30.53,0.992407,True
2,3,30.54,0.992578,True
2,4,0,1.0,False
2,5,0.0,0.992407,False
2,6,30.53,0.992476,True
2,7,0.0,1.007888,False
2,8,0.0,0.996418,False
2,9,30.54,0.992721,True
2,10,30.53,0.992402,True
2,11,0.0,0.992216,False
2,12,30.54,0.992635,True
2,13,0.0,0.978491,False
2,14,30.53,0.992479,True
3,0,30.54,0.992578,True
3,1,0.0,0.992407,False
3,2,0,1.0,False
3,3,30.54,0.992682,True
3,4,0.0,0.996832,False
3,5,30.54,0.992635,True
3,6,0,1.0,False
3,7,30.71,1.004268,True
3,8,30.54,0.992635,True
3,9,30.54,0.992721,True
3,10,0.0,1.005207,False
3,11,0.0,0.992476,False
3,12,0.0,1.005389,False
3,13,0.0,0.992121,False
3,14,0.0,0.996379,False
4,0,30.54,0.992635,True
4,1,30.71,1.004228,True
4,2,30.54,0.992635,True
4,3,0.0,0.992674,False
4,4,30.71,1.004168,True
4,5,0.0,1.005957,False
4,6,30.71,1.004512,True
4,7,0.0,0.996379,False
4,8,30.71,1.004168,True
4,9,0.0,1.004629,False
4,10,30.54,0.992721,True
4,11,0.0,0.992682,False
4,12,30.54,0.992721,True
4,13,0.0,0.992682,False
4,14,0.0,0.992682,False
5,0,30.71,1.004168,True
5,1,0.0,1.004445,False
5,2,30.71,1.004208,True
5,3,0.0,0.992682,False
5,4,0.0,83.640234,False
5,5,0.0,1.005335,False
5,6,30.54,0.992635,True
5,7,0.0,0.992317,False
5,8,30.54,0.992635,True
5,9,0,1.0,False
5,10,30.71,1.004168,True
5,11,0.0,0.992682,False
5,12,0.0,1.004629,False
5,13,30.71,1.004168,True
5,14,30.71,1.004168,True
6,0,0.0,0.993542,False
6,1,0.0,1.004629,False
6,2,30.71,1.004168,True
6,3,30.71,1.004168,True
6,4,30.71,1.004168,True
6,5,0.0,1.004445,False
6,6,0.0,1.003366,False
6,7,30.71,1.004168,True
6,8,0.0,0.882034,False
6,9,30.71,1.004472,True
6,10,30.71,1.004168,True
6,11,30.71,1.004168,True
6,12,30.71,1.004472,True
6,13,0,1.0,False
6,14,30.71,1.004168,True
7,0,0.0,1.00228,False
7,1,30.71,1.004168,True
7,2,30.71,1.004168,True
7,3,0.0,1.004472,False
7,4,30.71,1.004472,True
7,5,30.71,1.004168,True
7,6,0.0,1.004168,False
7,7,0.0,1.004174,False
7,8,0,1.0,False
7,9,0.0,1.00413,False
7,10,0.0,0.710579,False
7,11,0.0,1.004168,False
7,12,30.71,1.004472,True
7,13,30.71,1.004168,True
7,14,30.71,1.004472,True
8,0,30.71,1.004168,True
8,1,30.71,1.004168,True
8,2,0.0,0.872083,False
8,3,30.71,1.004472,True
8,4,0.0,1.004239,False
8,5,0.0,1.004363,False
8,6,30.71,1.004515,True
8,7,30.71,1.004168,True
8,8,30.71,1.004168,True
8,9,0,1.0,False
8,10,30.71,1.004168,True
8,11,30.71,1.004472,True
8,12,30.71,1.004168,True
8,13,30.71,1.004168,True
8,14,30.71,1.004168,True
9,0,30.7,1.004016,True
9,1,30.71,1.004168,True
9,2,30.71,1.004168,True
9,3,0.0,1.004168,False
9,4,30.71,1.004472,True
9,5,30.71,1.004515,True
9,6,30.71,1.004168,True
9,7,30.71,1.004168,True
9,8,0.0,1.004168,False
9,9,30.71,1.004168,True
9,10,30.71,1.004168,True
9,11,30.71,1.004168,True
9,12,0,1.0,False
9,13,30.71,1.004168,True
9,14,0.0,1.004472,False
10,0,30.71,1.004168,True
10,1,0.0,1.004168,False
10,2,30.71,1.004168,True
10,3,30.71,1.004168,True
10,4,30.71,1.004168,True
10,5,0.0,1.005643,False
10,6,30.7,1.004016,True
10,7,30.71,1.004168,True
10,8,30.71,1.004168,True
10,9,30.71,1.004168,True
10,10,0.0,1.004239,False
10,11,30.71,1.004168,True
10,12,30.71,1.004168,True
10,13,0.0,1.000258,False
10,14,0.0,1.003117,False
11,0,30.72,1.002344,True
11,1,30.71,1.004168,True
11,2,0.0,1.004168,False
11,3,30.71,1.004168,True
11,4,30.7,1.004016,True
11,5,30.71,1.004168,True
11,6,30.7,1.003588,True
11,7,30.71,1.004168,True
11,8,0.0,1.003772,False
11,9,0.0,0.992058,False
11,10,0.0,1.004179,False
11,11,30.55,0.993297,True
11,12,30.71,1.004168,True
11,13,30.71,1.004168,True
11,14,30.71,1.004168,True
12,0,0.0,1.004168,False
12,1,30.71,1.004168,True
12,2,0.0,1.002301,False
12,3,30.72,1.002323,True
12,4,0.0,1.00413,False
12,5,30.71,1.004168,True
12,6,30.53,0.992365,True
12,7,30.71,1.004168,True
12,8,30.71,1.004472,True
12,9,30.71,1.004168,True
12,10,30.72,1.002344,True
12,11,0.0,0.947237,False
12,12,30.71,1.004168,True
12,13,30.71,1.004168,True
12,14,30.53,0.992338,True
13,0,0,1.0,False
13,1,0.0,1.00483,False
13,2,30.71,1.004152,True
13,3,30.52,0.99145,True
13,4,0,1.0,False
13,5,30.72,1.002323,True
13,6,30.72,1.002328,True
13,7,0.0,1.004119,False
13,8,30.71,1.002231,True
13,9,0.0,0.580635,False
13,10,0.0,0.994615,False
13,11,0,1.0,False
13,12,0.0,1.002112,False
13,13,0,1.0,False
13,14,30.72,1.002323,True
14,0,0.0,1.002328,False
14,1,30.72,1.002231,True
