generation,individual,fitness,compression_ratio,integrity_check
0,0,25.96,0.51,True
0,1,0.0,1.0,False
0,2,0.0,0.51,False
0,3,25.96,0.5,True
0,4,25.96,0.51,True
0,5,25.96,0.51,True
0,6,25.96,0.51,True
0,7,0.0,1.0,False
0,8,30.65,1.0,True
0,9,0.0,1.0,False
1,0,30.65,1.0,True
1,1,25.96,0.51,True
1,2,25.96,0.5,True
1,3,25.96,0.51,True
1,4,0.0,1.01,False
1,5,0.0,0.5,False
1,6,25.96,0.5,True
1,7,25.96,0.5,True
1,8,25.97,0.5,True
1,9,25.97,0.5,True
2,0,30.65,1.0,True
2,1,25.97,0.5,True
2,2,25.97,0.5,True
2,3,25.96,0.51,True
2,4,0.0,0.51,False
2,5,25.97,0.5,True
2,6,0.0,1.0,False
2,7,30.65,1.0,True
2,8,25.97,0.5,True
2,9,0.0,1.0,False
3,0,30.65,1.0,True
3,1,30.65,1.0,True
3,2,25.97,0.5,True
3,3,25.97,0.5,True
3,4,25.97,0.5,True
3,5,30.65,1.0,True
3,6,25.97,0.5,True
3,7,25.97,0.5,True
3,8,30.65,1.0,True
3,9,0.0,1.0,False
4,0,30.65,1.0,True
4,1,30.65,1.0,True
4,2,30.65,1.0,True
4,3,30.65,1.0,True
4,4,30.65,1.0,True
4,5,30.65,1.0,True
4,6,30.65,1.0,True
4,7,30.65,1.0,True
4,8,30.65,1.0,True
4,9,30.65,1.0,True
5,0,30.65,1.0,True
5,1,30.65,1.0,True
5,2,30.65,1.0,True
5,3,30.65,1.0,True
5,4,30.65,1.0,True
5,5,30.65,1.0,True
5,6,0.0,0.5,False
5,7,30.65,1.0,True
5,8,30.65,1.0,True
5,9,30.65,1.0,True
6,0,30.65,1.0,True
6,1,30.65,1.0,True
6,2,30.65,1.0,True
6,3,30.65,1.0,True
6,4,30.65,1.0,True
6,5,30.65,1.0,True
6,6,30.65,1.0,True
6,7,30.65,1.0,True
6,8,30.65,1.0,True
6,9,30.65,1.0,True
7,0,30.65,1.0,True
7,1,30.65,1.0,True
7,2,30.65,1.0,True
7,3,30.65,1.0,True
7,4,30.65,1.0,True
7,5,30.65,1.0,True
7,6,30.65,1.0,True
7,7,30.65,1.0,True
7,8,30.65,1.0,True
7,9,30.65,1.0,True
8,0,30.65,1.0,True
8,1,30.65,1.0,True
8,2,30.65,1.0,True
8,3,30.65,1.0,True
8,4,30.65,1.0,True
8,5,0,1.0,False
8,6,30.65,1.0,True
8,7,0.0,1.0,False
8,8,30.65,1.0,True
8,9,30.65,1.0,True
9,0,30.65,1.0,True
9,1,30.65,1.0,True
9,2,30.65,1.0,True
9,3,30.65,1.0,True
9,4,30.65,1.0,True
9,5,0,1.0,False
9,6,30.65,1.0,True
9,7,30.65,1.0,True
9,8,30.65,1.0,True
9,9,30.65,1.0,True
10,0,30.65,1.0,True
10,1,30.65,1.0,True
10,2,30.65,1.0,True
10,3,30.65,1.0,True
10,4,30.65,1.0,True
10,5,30.65,1.0,True
10,6,30.65,1.0,True
10,7,0.0,1.0,False
10,8,30.65,1.0,True
10,9,30.65,1.0,True
