generation,individual,fitness,compression_ratio,integrity_check
0,0,35.13,0.50906,True
0,1,0.0,1.000743,False
0,2,35.13,0.50906,True
0,3,0.0,1.000387,False
0,4,0.0,1.0,False
0,5,35.13,0.50906,True
0,6,0.0,1.000732,False
0,7,35.13,0.50906,True
0,8,0.0,1.000743,False
0,9,35.13,0.509055,True
0,10,35.13,0.50906,True
0,11,35.13,0.50906,True
0,12,0.0,1.000743,False
0,13,0.0,1.000743,False
0,14,34.6,0.504588,True
1,0,0,1.0,False
1,1,35.13,0.50906,True
1,2,35.14,0.50906,True
1,3,0.0,1.000317,False
1,4,0.0,0.968506,False
1,5,0.0,0.509055,False
1,6,35.13,0.50906,True
1,7,35.14,0.50906,True
1,8,35.13,0.509055,True
1,9,35.13,0.50906,True
1,10,35.13,0.509055,True
1,11,0.0,1.000673,False
1,12,35.13,0.509055,True
1,13,35.13,0.509055,True
1,14,0.0,0.50906,False
2,0,0,1.0,False
2,1,35.13,0.50906,True
2,2,35.14,0.50906,True
2,3,35.13,0.50906,True
2,4,35.13,0.509055,True
2,5,35.13,0.509055,True
2,6,35.14,0.509055,True
2,7,35.13,0.509055,True
2,8,35.13,0.509055,True
2,9,35.13,0.509055,True
2,10,35.14,0.50906,True
2,11,35.13,0.509055,True
2,12,0.0,0.509042,False
2,13,35.13,0.509055,True
2,14,35.13,0.509055,True
3,0,35.14,0.509055,True
3,1,89.39,1.000298,True
3,2,35.14,0.509055,True
3,3,35.13,0.509055,True
3,4,35.13,0.509055,True
3,5,35.14,0.50906,True
3,6,35.14,0.50906,True
3,7,35.13,0.509055,True
3,8,35.14,0.50906,True
3,9,35.14,0.509055,True
3,10,35.14,0.509055,True
3,11,35.14,0.509055,True
3,12,35.14,0.50906,True
3,13,35.14,0.509055,True
3,14,35.14,0.509055,True
4,0,35.14,0.509055,True
4,1,35.14,0.509055,True
4,2,35.14,0.509055,True
4,3,35.14,0.50906,True
4,4,35.13,0.509036,True
4,5,89.39,1.000298,True
4,6,89.43,1.000653,True
4,7,35.14,0.50906,True
4,8,35.13,0.509036,True
4,9,35.14,0.509055,True
4,10,35.13,0.509036,True
4,11,35.14,0.509055,True
4,12,35.13,0.509036,True
4,13,35.14,0.509055,True
4,14,35.14,0.509055,True
5,0,35.14,0.509055,True
5,1,0.0,0.509036,False
5,2,89.38,1.000228,True
5,3,0.0,0.509036,False
5,4,35.14,0.509055,True
5,5,89.42,1.000567,True
5,6,35.14,0.50906,True
5,7,35.13,0.509042,True
5,8,35.13,0.509036,True
5,9,0,1.0,False
5,10,89.43,1.000653,True
5,11,89.44,1.000707,True
5,12,89.43,1.000653,True
5,13,0,1.0,False
5,14,0,1.0,False
6,0,35.14,0.509055,True
6,1,0.0,1.000567,False
6,2,89.42,1.000583,True
6,3,89.44,1.000707,True
6,4,35.14,0.50906,True
6,5,89.43,1.000707,True
6,6,35.13,0.509036,True
6,7,0.0,0.509055,False
6,8,0,1.0,False
6,9,89.38,1.000212,True
6,10,0,1.0,False
6,11,89.42,1.000583,True
6,12,0,1.0,False
6,13,35.14,0.50906,True
6,14,89.43,1.000653,True
7,0,0.0,0.509042,False
7,1,89.44,1.000707,True
7,2,89.44,1.000707,True
7,3,0,1.0,False
7,4,0.0,1.000658,False
7,5,35.13,0.509036,True
7,6,89.43,1.00069,True
7,7,89.43,1.000653,True
7,8,89.42,1.000583,True
7,9,89.43,1.000707,True
7,10,0.0,0.509055,False
7,11,89.44,1.000707,True
7,12,89.44,1.000707,True
7,13,89.43,1.00069,True
7,14,89.43,1.000673,True
8,0,89.43,1.00069,True
8,1,89.42,1.000583,True
8,2,89.44,1.00069,True
8,3,89.43,1.00069,True
8,4,89.43,1.00069,True
8,5,89.44,1.000707,True
8,6,89.43,1.00069,True
8,7,89.44,1.000707,True
8,8,89.44,1.000707,True
8,9,89.43,1.00069,True
8,10,89.44,1.000707,True
8,11,89.44,1.000726,True
8,12,89.44,1.000707,True
8,13,89.43,1.00069,True
8,14,89.43,1.00069,True
9,0,89.44,1.00069,True
9,1,89.44,1.000707,True
9,2,89.44,1.000707,True
9,3,89.44,1.000707,True
9,4,35.21,0.50905,True
9,5,89.43,1.00069,True
9,6,89.44,1.000726,True
9,7,89.43,1.00069,True
9,8,89.44,1.000707,True
9,9,89.44,1.000707,True
9,10,89.44,1.000701,True
9,11,89.44,1.000707,True
9,12,89.44,1.000701,True
9,13,89.44,1.000726,True
9,14,89.43,1.00069,True
10,0,89.44,1.000707,True
10,1,89.44,1.000701,True
10,2,89.44,1.000707,True
10,3,89.44,1.000721,True
10,4,89.44,1.000726,True
10,5,89.44,1.000701,True
10,6,89.44,1.000707,True
10,7,89.44,1.000707,True
10,8,89.44,1.000701,True
10,9,89.44,1.000707,True
10,10,89.44,1.000707,True
10,11,89.44,1.000701,True
10,12,89.44,1.00069,True
10,13,0.0,1.000701,False
10,14,89.44,1.000701,True
11,0,89.44,1.000721,True
11,1,89.44,1.000701,True
11,2,89.44,1.000701,True
11,3,0,1.0,False
11,4,89.44,1.000707,True
11,5,89.44,1.000726,True
11,6,89.44,1.000721,True
11,7,89.44,1.000701,True
11,8,0,1.0,False
11,9,89.44,1.000726,True
11,10,89.44,1.000701,True
11,11,89.44,1.000701,True
11,12,89.44,1.000707,True
11,13,89.43,1.000701,True
11,14,89.44,1.000721,True
12,0,89.44,1.000701,True
12,1,89.44,1.000707,True
12,2,0.0,1.000287,False
12,3,89.44,1.000701,True
12,4,89.44,1.000721,True
12,5,0.0,1.000701,False
12,6,89.44,1.000701,True
12,7,89.44,1.000701,True
12,8,89.44,1.000701,True
12,9,89.44,1.000701,True
12,10,89.43,1.000626,True
12,11,89.44,1.000701,True
12,12,0.0,1.006941,False
12,13,89.44,1.000701,True
12,14,89.44,1.000701,True
13,0,0.0,1.000346,False
13,1,89.44,1.000701,True
13,2,89.44,1.000701,True
13,3,89.44,1.000701,True
13,4,0.0,1.000721,False
13,5,89.44,1.000707,True
13,6,89.44,1.000701,True
13,7,89.44,1.000701,True
13,8,89.44,1.000707,True
13,9,89.44,1.000701,True
13,10,89.44,1.000707,True
13,11,89.44,1.000701,True
13,12,89.44,1.000721,True
13,13,89.44,1.000701,True
13,14,89.44,1.000701,True
14,0,89.44,1.000707,True
14,1,89.44,1.000701,True
14,2,0.0,1.000707,False
14,3,0,1.0,False
14,4,89.44,1.000701,True
14,5,89.44,1.000701,True
14,6,89.44,1.000707,True
14,7,89.44,1.000707,True
14,8,0.0,1.000701,False
14,9,89.44,1.000707,True
14,10,0.0,1.005543,False
14,11,89.44,1.000701,True
14,12,89.44,1.000707,True
14,13,0.0,1.000707,False
14,14,89.44,1.000701,True
15,0,89.44,1.000707,True
15,1,89.44,1.000707,True
15,2,89.44,1.000707,True
15,3,0.0,1.0,False
15,4,89.44,1.000707,True
15,5,87.67,0.98393,True
15,6,89.44,1.000707,True
15,7,0.0,1.000701,False
15,8,0.0,1.000707,False
15,9,0,1.0,False
15,10,89.44,1.000701,True
15,11,0,1.0,False
