generation,individual,fitness,compression_ratio,integrity_check
0,0,15.44,0.51,True
0,1,15.44,0.51,True
0,2,0.0,1.0,False
0,3,0.0,1.0,False
0,4,0,1.0,False
0,5,0.0,1.0,False
0,6,0.0,1.0,False
0,7,0.0,1.0,False
0,8,23.55,1.0,True
0,9,0.0,1.0,False
1,0,23.55,1.0,True
1,1,15.44,0.51,True
1,2,15.44,0.51,True
1,3,0.0,1.0,False
1,4,0.0,1.0,False
1,5,15.44,0.51,True
1,6,15.44,0.51,True
1,7,0.0,1.0,False
1,8,15.44,0.51,True
1,9,0.0,1.02,False
2,0,23.55,1.0,True
2,1,15.44,0.51,True
2,2,15.44,0.51,True
2,3,15.44,0.51,True
2,4,0.0,0.51,False
2,5,0.0,1.0,False
2,6,15.44,0.51,True
2,7,15.44,0.51,True
2,8,23.55,1.0,True
2,9,0,1.0,False
3,0,23.55,1.0,True
3,1,23.55,1.0,True
3,2,15.44,0.51,True
3,3,15.44,0.51,True
3,4,23.55,1.0,True
3,5,15.44,0.51,True
3,6,0.0,1.0,False
3,7,23.55,1.0,True
3,8,0.0,1.0,False
3,9,15.44,0.51,True
4,0,23.55,1.0,True
4,1,23.55,1.0,True
4,2,23.55,1.0,True
4,3,23.55,1.0,True
4,4,0,1.0,False
4,5,23.55,1.0,True
4,6,23.55,1.0,True
4,7,23.55,1.0,True
4,8,0.0,1.0,False
4,9,0.0,1.0,False
5,0,23.55,1.0,True
5,1,23.55,1.0,True
5,2,23.55,1.0,True
5,3,23.55,1.0,True
5,4,23.55,1.0,True
5,5,23.55,1.0,True
5,6,0,1.0,False
5,7,23.55,1.0,True
5,8,23.55,1.0,True
5,9,0.0,1.0,False
