generation,individual,fitness,compression_ratio,integrity_check
0,0,25.96,0.50906,True
0,1,0.0,1.000743,False
0,2,25.96,0.50906,True
0,3,0.0,1.0,False
0,4,0,1.0,False
0,5,0.0,1.00071,False
0,6,25.96,0.50906,True
0,7,30.65,1.000317,True
0,8,25.96,0.509042,True
0,9,0.0,1.000743,False
1,0,30.65,1.000317,True
1,1,25.96,0.50906,True
1,2,25.96,0.50906,True
1,3,25.96,0.50906,True
1,4,25.96,0.50906,True
1,5,25.96,0.50906,True
1,6,30.65,1.000317,True
1,7,25.96,0.50906,True
1,8,30.65,1.000317,True
1,9,30.65,1.000247,True
