generation,individual,fitness,compression_ratio,integrity_check
0,0,12.7,0.5,True
0,1,18.14,0.81,True
0,2,18.14,0.81,True
0,3,18.21,0.81,True
0,4,18.25,0.81,True
0,5,12.28,0.48,True
0,6,0,1.0,False
0,7,0.0,0.89,False
0,8,0.0,0.75,False
0,9,14.4,0.6,True
1,0,18.25,0.81,True
1,1,18.21,0.81,True
1,2,18.14,0.81,True
1,3,18.14,0.81,True
1,4,14.35,0.6,True
1,5,18.25,0.81,True
1,6,18.14,0.81,True
1,7,21.75,1.0,True
1,8,0.0,0.81,False
1,9,0.0,0.75,False
2,0,21.75,1.0,True
2,1,18.25,0.81,True
2,2,18.25,0.81,True
2,3,18.21,0.81,True
2,4,17.01,0.75,True
2,5,18.36,0.82,True
2,6,15.99,0.69,True
2,7,0.0,0.82,False
2,8,0.0,0.62,False
2,9,0,1.0,False
3,0,21.75,1.0,True
3,1,18.36,0.82,True
3,2,18.25,0.81,True
3,3,18.25,0.81,True
3,4,0.0,0.82,False
3,5,13.29,0.54,True
3,6,18.36,0.82,True
3,7,18.36,0.82,True
3,8,18.36,0.82,True
3,9,0,1.0,False
4,0,21.75,1.0,True
4,1,18.36,0.82,True
4,2,18.36,0.82,True
4,3,18.36,0.82,True
4,4,18.36,0.82,True
4,5,18.36,0.82,True
4,6,0.0,0.81,False
4,7,0.0,0.82,False
4,8,18.36,0.82,True
4,9,21.76,1.0,True
5,0,21.76,1.0,True
5,1,21.75,1.0,True
5,2,18.36,0.82,True
5,3,18.36,0.82,True
5,4,21.75,1.0,True
5,5,18.36,0.82,True
5,6,18.36,0.82,True
5,7,18.36,0.82,True
5,8,21.76,1.0,True
5,9,18.36,0.82,True
6,0,21.76,1.0,True
6,1,21.76,1.0,True
6,2,21.75,1.0,True
6,3,21.75,1.0,True
6,4,21.76,1.0,True
6,5,21.76,1.0,True
6,6,21.76,1.0,True
6,7,21.76,1.0,True
6,8,21.76,1.0,True
6,9,21.76,1.0,True
7,0,21.75,1.0,True
7,1,21.76,1.0,True
7,2,21.76,1.0,True
7,3,21.76,1.0,True
7,4,19.88,0.9,True
7,5,21.76,1.0,True
7,6,21.76,1.0,True
7,7,10.22,0.34,True
7,8,21.76,1.0,True
7,9,21.72,1.0,True
8,0,21.76,1.0,True
8,1,21.76,1.0,True
8,2,21.76,1.0,True
8,3,21.76,1.0,True
8,4,21.73,1.0,True
8,5,0.0,1.0,False
8,6,0.0,1.0,False
8,7,21.76,1.0,True
8,8,21.76,1.0,True
8,9,0.0,0.99,False
9,0,21.76,1.0,True
9,1,21.76,1.0,True
9,2,21.76,1.0,True
9,3,21.76,1.0,True
9,4,21.76,1.0,True
9,5,21.76,1.0,True
9,6,0.0,0.99,False
9,7,0.0,1.0,False
9,8,21.76,1.0,True
9,9,21.76,1.0,True
10,0,21.76,1.0,True
10,1,21.76,1.0,True
10,2,21.76,1.0,True
10,3,21.76,1.0,True
10,4,21.53,0.99,True
10,5,21.76,1.0,True
10,6,21.76,1.0,True
10,7,21.76,1.0,True
10,8,21.76,1.0,True
10,9,21.76,1.0,True
