generation,individual,fitness,compression_ratio,integrity_check
0,0,25.96,0.50906,True
0,1,0.0,1.000387,False
0,2,0.0,0.616677,False
0,3,0.0,1.000743,False
0,4,0.0,1.000743,False
0,5,0.0,0.50906,False
0,6,25.96,0.50906,True
0,7,0.0,1.0,False
0,8,0.0,1.000743,False
0,9,0,1.0,False
1,0,25.96,0.50906,True
1,1,25.96,0.50906,True
1,2,0.0,1.000387,False
1,3,0.0,0.616677,False
1,4,25.96,0.50906,True
1,5,0.0,0.510601,False
1,6,0.0,1.000387,False
1,7,0.0,1.000743,False
1,8,25.96,0.50906,True
1,9,0.0,0.504606,False
