generation,individual,fitness,compression_ratio,integrity_check
0,0,15.44,0.51,True
0,1,15.44,0.51,True
0,2,0.0,0.95,False
0,3,0,1.0,False
0,4,0.0,0.98,False
0,5,0.0,3.23,False
0,6,0,1.0,False
0,7,0.0,0.99,False
0,8,23.41,0.99,True
0,9,0,1.0,False
1,0,23.41,0.99,True
1,1,15.44,0.51,True
1,2,15.44,0.51,True
1,3,0.0,0.95,False
1,4,0.0,0.51,False
1,5,23.41,0.99,True
1,6,23.41,0.99,True
1,7,0,1.0,False
1,8,0.0,0.95,False
1,9,23.41,0.99,True
2,0,23.41,0.99,True
2,1,23.41,0.99,True
2,2,23.41,0.99,True
2,3,23.41,0.99,True
2,4,23.41,0.99,True
2,5,0,1.0,False
2,6,23.41,0.99,True
2,7,23.41,0.99,True
2,8,23.31,0.99,True
2,9,23.41,0.99,True
